,# utterances (participant),# tokens (participant),# unique tokens (participant),# unique lemmas (participant),# ADJ (participant),# ADP (participant),# ADV (participant),# AUX (participant),# CCONJ (participant),# DET (participant),# INTJ (participant),# NOUN (participant),# NUM (participant),# PART (participant),# PRON (participant),# PROPN (participant),# PUNCT (participant),# SCONJ (participant),# VERB (participant),# named entities (participant),# unique named entities (participant),# CARDINAL (participant),TTR (participant),MSTTR (participant),MATTR (participant),Maas (participant),MTLD (participant),HD-D (participant),SUBTLscore (participant),tree_height (participant),NP_to_PRP (participant),NP_to_DT_NN (participant),VP_to_VBG (participant),INTJ_to_UH (participant),ROOT_to_FRAG (participant),VP_to_AUX_VP (participant),VP_to_AUX_ADJP (participant),VP_to_AUX (participant),BrunetIndex,HonoreStatistic,MeanWordLength,DisfluencyFrequency,RatioNoun,RatioVerb,RatioPronoun,RatioCoordinate,NPTypeRate,VPTypeRate,PPTypeRate,PProportion,NPProportion,VPProportion,AvgNPTypeLengthEmbedded,AvgVPTypeLengthEmbedded,AvgPPTypeLengthEmbedded,AvgPPTypeLengthNonEmbedded,AvgNPTypeLengthNonEmbedded,AvgVPTypeLengthNonEmbedded,avg_cos_dist,proportion_below_threshold_0,proportion_below_threshold_0.3,proportion_below_threshold_0.5,Vrate,avgdurvoiced,stddurvoiced,skwdurvoiced,kurtosisdurvoiced,maxdurvoiced,mindurvoiced,avgdurunvoiced,stddurunvoiced,skwdurunvoiced,kurtosisdurunvoiced,maxdurunvoiced,mindurunvoiced,avgdurpause,stddurpause,skwdurpause,kurtosisdurpause,maxdurpause,mindurpause,PVU,PU,UVU,VVU,VP,UP
0,"Ttest_indResult(statistic=5.772817457977453, pvalue=8.094525284076816e-08)","Ttest_indResult(statistic=4.652780938233594, pvalue=8.870557249786986e-06)","Ttest_indResult(statistic=3.3734347350505343, pvalue=0.0009598104478656594)","Ttest_indResult(statistic=-3.4856521648460546, pvalue=0.0006404499591509748)","Ttest_indResult(statistic=1.1398676254309632, pvalue=0.2560229588467032)","Ttest_indResult(statistic=-6.975118764927365, pvalue=4.012060273267948e-11)","Ttest_indResult(statistic=-0.9114966966810836, pvalue=0.36324694167186355)","Ttest_indResult(statistic=3.6892382968596773, pvalue=0.0002737920953895435)","Ttest_indResult(statistic=-2.991774414945939, pvalue=0.0032172538199162284)","Ttest_indResult(statistic=-7.79180930991637, pvalue=3.5775482065698975e-13)","Ttest_indResult(statistic=5.218854034316568, pvalue=6.846191159215846e-07)","Ttest_indResult(statistic=-7.4025222283658945, pvalue=5.606098461468047e-12)","Ttest_indResult(statistic=-3.1813514480360796, pvalue=0.0017196633050224198)","Ttest_indResult(statistic=1.5718067455805074, pvalue=0.11863099697866054)","Ttest_indResult(statistic=-2.2898085164897672, pvalue=0.02301386366844097)","Ttest_indResult(statistic=-2.0882212457966074, pvalue=0.037662196978925803)","Ttest_indResult(statistic=3.621238519194214, pvalue=0.00039838839971987917)","Ttest_indResult(statistic=-4.053215490699712, pvalue=7.41184496152215e-05)","Ttest_indResult(statistic=-4.522981777883453, pvalue=1.038615490390056e-05)","Ttest_indResult(statistic=-3.8695699261970447, pvalue=0.00014673316226617743)","Ttest_indResult(statistic=-5.2249740803407265, pvalue=3.52431597101559e-07)","Ttest_indResult(statistic=0.7575011787942502, pvalue=0.4496978231192974)","Ttest_indResult(statistic=-3.016821631270064, pvalue=0.0029941349020275714)","Ttest_indResult(statistic=-1.4595283865230095, pvalue=0.14643460712135498)","Ttest_indResult(statistic=-1.4760178986117738, pvalue=0.14187505786663968)","Ttest_indResult(statistic=2.247428000674351, pvalue=0.025749611104505646)","Ttest_indResult(statistic=-0.13973214456222655, pvalue=0.8890024040192324)","Ttest_indResult(statistic=1.8500305523818514, pvalue=0.06597172816605411)","Ttest_indResult(statistic=1.1044525844679642, pvalue=0.2710803844524623)","Ttest_indResult(statistic=6.287977839035968, pvalue=2.5968611138960875e-09)","Ttest_indResult(statistic=-0.38860919361045737, pvalue=0.6979401841665985)","Ttest_indResult(statistic=-7.9206700480561105, pvalue=1.6056037110871573e-13)","Ttest_indResult(statistic=-3.912336482119642, pvalue=0.0001221680497123063)","Ttest_indResult(statistic=5.868900110671164, pvalue=3.057242941907782e-08)","Ttest_indResult(statistic=4.583510284056447, pvalue=8.403568091437811e-06)","Ttest_indResult(statistic=0.4254773342846138, pvalue=0.670962242377948)","Ttest_indResult(statistic=0.32860600869582407, pvalue=0.7427855767147071)","Ttest_indResult(statistic=-1.0635118083581152, pvalue=0.2885941071728176)","Ttest_indResult(statistic=8.012140561962637, pvalue=2.6616117434099425e-13)","Ttest_indResult(statistic=-6.630989707544065, pvalue=2.4305917259718366e-10)","Ttest_indResult(statistic=-4.763798299139181, pvalue=4.062431651772287e-06)","Ttest_indResult(statistic=4.716109557253442, pvalue=6.291911392662358e-06)","Ttest_indResult(statistic=-5.512457448473515, pvalue=8.311604131586473e-08)","Ttest_indResult(statistic=-5.392931821221355, pvalue=1.4853797540951848e-07)","Ttest_indResult(statistic=-1.5048882022837666, pvalue=0.13357610632178987)","Ttest_indResult(statistic=-3.5146641317185563, pvalue=0.0005564849232644844)","Ttest_indResult(statistic=-3.9732854719853545, pvalue=0.00010355434915271755)","Ttest_indResult(statistic=-0.17670537002393835, pvalue=0.859906738202358)","Ttest_indResult(statistic=-6.791135831488438, pvalue=1.1946328283925863e-10)","Ttest_indResult(statistic=-7.602540832549756, pvalue=8.850102520240434e-13)","Ttest_indResult(statistic=-5.763425948908074, pvalue=3.7825549291358247e-08)","Ttest_indResult(statistic=-5.941118393323847, pvalue=1.53996510594425e-08)","Ttest_indResult(statistic=-8.497269566726693, pvalue=9.909770492445722e-15)","Ttest_indResult(statistic=-8.528668116399231, pvalue=3.561142756075893e-15)","Ttest_indResult(statistic=-8.967999976913127, pvalue=1.0763638166417654e-16)","Ttest_indResult(statistic=-7.815681331788409, pvalue=1.6728629983339722e-13)","Ttest_indResult(statistic=-6.9353027585114955, pvalue=4.2022990063851805e-11)","Ttest_indResult(statistic=-7.385102365107397, pvalue=3.0194187702732967e-12)","Ttest_indResult(statistic=0.8323351981151433, pvalue=0.406474568429121)","Ttest_indResult(statistic=2.682390774142891, pvalue=0.007987305354076765)","Ttest_indResult(statistic=-2.907475345078521, pvalue=0.0042222941593325)","Ttest_indResult(statistic=-3.1771412030580133, pvalue=0.0017707036966663457)","Ttest_indResult(statistic=-2.965489344523905, pvalue=0.0034996734383954714)","Ttest_indResult(statistic=-3.9901714664123262, pvalue=8.907844633010264e-05)","Ttest_indResult(statistic=-3.0276206858926753, pvalue=0.0027790696281317934)","Ttest_indResult(statistic=3.3514964981126862, pvalue=0.0010283778377538)","Ttest_indResult(statistic=2.7552386110539424, pvalue=0.006841323018894047)","Ttest_indResult(statistic=-0.2932312817093645, pvalue=0.7697174132518403)","Ttest_indResult(statistic=1.1283342316418417, pvalue=0.26116219364163523)","Ttest_indResult(statistic=1.4196352595230874, pvalue=0.15696546365677616)","Ttest_indResult(statistic=2.5046768414228016, pvalue=0.012970944463408643)","Ttest_indResult(statistic=-0.41964475715489785, pvalue=0.675213185611492)","Ttest_indResult(statistic=-2.753498973243169, pvalue=0.006397869165577151)","Ttest_indResult(statistic=0.4895732344964783, pvalue=0.6248603707067376)","Ttest_indResult(statistic=0.8453610370950096, pvalue=0.3988574647302845)","Ttest_indResult(statistic=2.0829021604108795, pvalue=0.03851608961812642)","Ttest_indResult(statistic=2.556982124602349, pvalue=0.011423746721522486)","Ttest_indResult(statistic=3.3017697723954815, pvalue=0.00123474921773288)","Ttest_indResult(statistic=2.6529428746626733, pvalue=0.009205507880135553)","Ttest_indResult(statistic=3.5849926671316976, pvalue=0.0004596776861200376)","Ttest_indResult(statistic=1.28202794138531, pvalue=0.20185270857426793)","Ttest_indResult(statistic=2.5559244678771935, pvalue=0.011277377709413209)","Ttest_indResult(statistic=2.344167174708076, pvalue=0.020087781058967108)","Ttest_indResult(statistic=4.402208580758806, pvalue=1.7423643835368014e-05)","Ttest_indResult(statistic=-1.4095206333083221, pvalue=0.1598888380380498)","Ttest_indResult(statistic=-2.247351649152457, pvalue=0.025971760062124774)","Ttest_indResult(statistic=-0.28657628697088244, pvalue=0.7748780788367091)"
,1,1,,,,d,,,,d,m,m,,,,,,m,m,m,,,,,,,,,,,,,,,,,,,d,d,d,d,d,d,,d,d,,d,d,d,d,d,d,d,d,d,d,,,,,,d,,,,,,,,,,,,,,,,d,,,,d,,,
