,# utterances (participant),# tokens (participant),# unique tokens (participant),# unique lemmas (participant),# ADJ (participant),# ADP (participant),# ADV (participant),# AUX (participant),# CCONJ (participant),# DET (participant),# INTJ (participant),# NOUN (participant),# NUM (participant),# PART (participant),# PRON (participant),# PROPN (participant),# PUNCT (participant),# SCONJ (participant),# VERB (participant),# named entities (participant),# unique named entities (participant),# CARDINAL (participant),TTR (participant),MSTTR (participant),MATTR (participant),Maas (participant),MTLD (participant),HD-D (participant),SUBTLscore (participant),tree_height (participant),NP_to_PRP (participant),NP_to_DT_NN (participant),VP_to_VBG (participant),INTJ_to_UH (participant),ROOT_to_FRAG (participant),VP_to_AUX_VP (participant),VP_to_AUX_ADJP (participant),VP_to_AUX (participant),BrunetIndex,HonoreStatistic,MeanWordLength,DisfluencyFrequency,RatioNoun,RatioVerb,RatioPronoun,RatioCoordinate,NPTypeRate,VPTypeRate,PPTypeRate,PProportion,NPProportion,VPProportion,AvgNPTypeLengthEmbedded,AvgVPTypeLengthEmbedded,AvgPPTypeLengthEmbedded,AvgPPTypeLengthNonEmbedded,AvgNPTypeLengthNonEmbedded,AvgVPTypeLengthNonEmbedded,avg_cos_dist,proportion_below_threshold_0,proportion_below_threshold_0.3,proportion_below_threshold_0.5,Vrate,avgdurvoiced,stddurvoiced,skwdurvoiced,kurtosisdurvoiced,maxdurvoiced,mindurvoiced,avgdurunvoiced,stddurunvoiced,skwdurunvoiced,kurtosisdurunvoiced,maxdurunvoiced,mindurunvoiced,avgdurpause,stddurpause,skwdurpause,kurtosisdurpause,maxdurpause,mindurpause,PVU,PU,UVU,VVU,VP,UP
0,"Ttest_indResult(statistic=-0.8570680502732546, pvalue=0.39178749689580994)","Ttest_indResult(statistic=-1.568619040454857, pvalue=0.11734620306120115)","Ttest_indResult(statistic=-3.3593532264121526, pvalue=0.000839981824396157)","Ttest_indResult(statistic=-1.4732619462702559, pvalue=0.1412647669814032)","Ttest_indResult(statistic=-2.7267938245109273, pvalue=0.006608462258854079)","Ttest_indResult(statistic=-3.35423831227679, pvalue=0.0008520685436658105)","Ttest_indResult(statistic=6.20293546217209, pvalue=1.1122973919718647e-09)","Ttest_indResult(statistic=-5.314334456783279, pvalue=1.585672544245971e-07)","Ttest_indResult(statistic=3.4859071381980513, pvalue=0.0005315002338403505)","Ttest_indResult(statistic=-3.6497533719326016, pvalue=0.0002880519464250258)","Ttest_indResult(statistic=3.3965510977117077, pvalue=0.0007327485054010663)","Ttest_indResult(statistic=-6.302477837976724, pvalue=6.098039271494221e-10)","Ttest_indResult(statistic=-1.2566898210394435, pvalue=0.20942123016159056)","Ttest_indResult(statistic=1.7774417695760643, pvalue=0.07606365970665677)","Ttest_indResult(statistic=5.703805676011934, pvalue=1.941327660792851e-08)","Ttest_indResult(statistic=3.2933935909690946, pvalue=0.0010773810902428031)","Ttest_indResult(statistic=1.5225794021169223, pvalue=0.1284575704558254)","Ttest_indResult(statistic=-2.0132246407379384, pvalue=0.044644062157396774)","Ttest_indResult(statistic=-1.286818666114541, pvalue=0.19874265079153247)","Ttest_indResult(statistic=-0.7476032194868888, pvalue=0.455028592960782)","Ttest_indResult(statistic=-0.864488519834504, pvalue=0.3877057911130981)","Ttest_indResult(statistic=-1.8407106821464805, pvalue=0.06625133402033007)","Ttest_indResult(statistic=-1.4434872507265997, pvalue=0.14946473834117371)","Ttest_indResult(statistic=-5.338132480900197, pvalue=1.4163548251514086e-07)","Ttest_indResult(statistic=-6.560690730897588, pvalue=1.3853561622394123e-10)","Ttest_indResult(statistic=5.260382008543442, pvalue=2.0828727560826202e-07)","Ttest_indResult(statistic=-3.4897635003819754, pvalue=0.0005252536663462236)","Ttest_indResult(statistic=-1.4520019121501957, pvalue=0.1470818704658233)","Ttest_indResult(statistic=4.086315729049788, pvalue=5.055326593825036e-05)","Ttest_indResult(statistic=0.8460243591082647, pvalue=0.39792187017003156)","Ttest_indResult(statistic=5.245889223375378, pvalue=2.2575156130889335e-07)","Ttest_indResult(statistic=-5.733535023347758, pvalue=1.662138066963788e-08)","Ttest_indResult(statistic=-5.408616556047881, pvalue=9.693858260358999e-08)","Ttest_indResult(statistic=2.850660503831095, pvalue=0.004529666107772143)","Ttest_indResult(statistic=3.593047228639129, pvalue=0.00035681289515527453)","Ttest_indResult(statistic=-6.919928700586045, pvalue=1.4329068253299766e-11)","Ttest_indResult(statistic=-6.765390886490494, pvalue=4.511243678428946e-11)","Ttest_indResult(statistic=-5.843928450631059, pvalue=9.149514255369877e-09)","Ttest_indResult(statistic=1.8516530138472838, pvalue=0.06462373822545743)","Ttest_indResult(statistic=-1.0789439569464108, pvalue=0.28109691861641023)","Ttest_indResult(statistic=-6.995505747501821, pvalue=7.86257455182686e-12)","Ttest_indResult(statistic=-0.16942464959774414, pvalue=0.865526093950571)","Ttest_indResult(statistic=-1.4232465924236148, pvalue=0.155245259440301)","Ttest_indResult(statistic=1.3418244520677938, pvalue=0.18021743319723954)","Ttest_indResult(statistic=4.9937436004695375, pvalue=8.135251286381095e-07)","Ttest_indResult(statistic=3.443278561190808, pvalue=0.0006211334650569081)","Ttest_indResult(statistic=-0.6025692139562202, pvalue=0.547052259949407)","Ttest_indResult(statistic=-1.4797915106853248, pvalue=0.13952308572116612)","Ttest_indResult(statistic=-3.521894401197746, pvalue=0.00046564102247438296)","Ttest_indResult(statistic=-2.7377166826157393, pvalue=0.0064011289250005795)","Ttest_indResult(statistic=-0.4691001933286116, pvalue=0.6391880643564862)","Ttest_indResult(statistic=-3.1165398837997236, pvalue=0.001927722728831871)","Ttest_indResult(statistic=-1.1728647214830439, pvalue=0.24137149245569792)","Ttest_indResult(statistic=-2.2450310090592027, pvalue=0.025175808729275464)","Ttest_indResult(statistic=-2.6464766343368047, pvalue=0.008378194399563218)","Ttest_indResult(statistic=-3.0588287871440967, pvalue=0.002343110653669312)","Ttest_indResult(statistic=-0.38701590300821453, pvalue=0.6988969691488633)","Ttest_indResult(statistic=-3.0952069028472833, pvalue=0.0020721139394537656)","Ttest_indResult(statistic=4.64942936535974, pvalue=4.196177546883459e-06)","Ttest_indResult(statistic=-1.7382387218124806, pvalue=0.08275107562485753)","Ttest_indResult(statistic=-5.107236253114488, pvalue=4.641904825608151e-07)","Ttest_indResult(statistic=-3.8118534363115426, pvalue=0.00015477925270387865)","Ttest_indResult(statistic=-3.4872349642794083, pvalue=0.0005301441118248222)","Ttest_indResult(statistic=1.662282852904308, pvalue=0.09705127086511117)","Ttest_indResult(statistic=3.220842762861475, pvalue=0.0013551548239000893)","Ttest_indResult(statistic=3.4119893278244775, pvalue=0.0006934676444407535)","Ttest_indResult(statistic=2.609063825610115, pvalue=0.009330723296354503)","Ttest_indResult(statistic=2.7224162149105116, pvalue=0.0066902976789212035)","Ttest_indResult(statistic=0.36543232875925963, pvalue=0.7149348695315253)","Ttest_indResult(statistic=-0.9651856274939994, pvalue=0.3349572447621354)","Ttest_indResult(statistic=1.97761478513672, pvalue=0.04857450750821172)","Ttest_indResult(statistic=2.140990458931032, pvalue=0.03272740134230659)","Ttest_indResult(statistic=-1.1083148787247066, pvalue=0.2682292334251961)","Ttest_indResult(statistic=0.6299072911835482, pvalue=0.5290983434597005)","Ttest_indResult(statistic=-0.6759177551163799, pvalue=0.4994091207623512)","Ttest_indResult(statistic=3.1588453528255616, pvalue=0.0016988036596557816)","Ttest_indResult(statistic=3.1776706528829046, pvalue=0.0015741273245971812)","Ttest_indResult(statistic=-2.066793778879271, pvalue=0.03929949721215301)","Ttest_indResult(statistic=-2.507613169819109, pvalue=0.012507995830285341)","Ttest_indResult(statistic=2.253389017508243, pvalue=0.024640067447597763)","Ttest_indResult(statistic=-0.11326728037529488, pvalue=0.9098831418139831)","Ttest_indResult(statistic=3.5222748155297916, pvalue=0.00047444723623806434)","Ttest_indResult(statistic=4.223732114984987, pvalue=3.0307125538533754e-05)","Ttest_indResult(statistic=-0.8652741359592537, pvalue=0.3873096628473681)","Ttest_indResult(statistic=2.2721560969985513, pvalue=0.023586875368552945)","Ttest_indResult(statistic=-2.0367792308878263, pvalue=0.04216202938860146)","Ttest_indResult(statistic=-4.227783565670801, pvalue=2.8131935383341433e-05)"
,,,,,,,1,1,1,1,,1,,,1,,,,,,,,,1,1,1,1,,1,,1,1,1,,1,1,1,1,,,1,,,,1,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,1
